SERVER - 2020-10-09 20:09:18,420 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:09:19,049 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:09:19,112 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:09:19,945 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:09:20,008 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:09:20,575 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:09:20,654 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:09:21,142 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:09:21,189 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:09:26,356 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
SERVER - 2020-10-09 20:12:15,600 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 20:12:15,663 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:15,742 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:16,485 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:16,531 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:17,256 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:17,415 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:17,900 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:17,964 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:18,706 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:18,769 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:19,385 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:19,480 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:20,080 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:20,144 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:25,260 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
SERVER - 2020-10-09 20:12:43,527 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 20:12:43,623 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:43,749 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:44,236 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:44,283 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:44,898 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:44,994 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:45,578 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:45,641 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:46,299 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:46,362 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:46,948 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:12:47,044 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:12:47,693 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:13:47,894 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 20:13:47,958 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:13:48,036 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:13:48,719 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:13:48,751 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:13:49,408 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:13:49,470 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:13:50,135 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:13:50,182 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:13:50,815 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:13:50,879 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:13:51,447 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:13:51,511 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:13:52,129 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:14:39,543 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 20:14:39,606 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:07:38,449 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 21:07:38,526 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:08:56,746 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 21:08:56,856 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:08:56,935 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:08:57,467 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:08:57,561 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:08:58,030 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:08:58,076 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:08:58,640 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:08:58,704 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:08:59,330 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:08:59,409 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:09:00,017 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:09:00,250 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:09:00,516 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:09:00,563 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:09:05,681 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
SERVER - 2020-10-09 21:31:56,868 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 21:31:56,962 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:31:57,101 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:31:57,581 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:31:57,642 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:31:58,392 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:31:58,455 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:31:58,994 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:31:59,057 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:31:59,771 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:31:59,834 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:32:00,569 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 21:32:00,632 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 21:32:01,039 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
